,species,culmen_length_mm,culmen_depth_mm
0,1,39.1,18.7
1,1,39.5,17.4
2,1,40.3,18.0
3,1,43.92192982456142,17.151169590643278
4,1,36.7,19.3
5,1,39.3,20.6
6,1,38.9,17.8
7,1,39.2,19.6
8,1,34.1,18.1
9,1,42.0,20.2
10,1,37.8,17.1
11,1,37.8,17.3
12,1,41.1,17.6
13,1,38.6,21.2
14,1,34.6,21.1
15,1,36.6,17.8
16,1,38.7,19.0
17,1,42.5,20.7
18,1,34.4,18.4
19,1,46.0,21.5
20,1,37.8,18.3
21,1,37.7,18.7
22,1,35.9,19.2
23,1,38.2,18.1
24,1,38.8,17.2
25,1,35.3,18.9
26,1,40.6,18.6
27,1,40.5,17.9
28,1,37.9,18.6
29,1,40.5,18.9
30,1,39.5,16.7
31,1,37.2,18.1
32,1,39.5,17.8
33,1,40.9,18.9
34,1,36.4,17.0
35,1,39.2,21.1
36,1,38.8,20.0
37,1,42.2,18.5
38,1,37.6,19.3
39,1,39.8,19.1
40,1,36.5,18.0
41,1,40.8,18.4
42,1,36.0,18.5
43,1,44.1,19.7
44,1,37.0,16.9
45,1,39.6,18.8
46,1,41.1,19.0
47,1,37.5,18.9
48,1,36.0,17.9
49,1,42.3,21.2
50,1,39.6,17.7
51,1,40.1,18.9
52,1,35.0,17.9
53,1,42.0,19.5
54,1,34.5,18.1
55,1,41.4,18.6
56,1,39.0,17.5
57,1,40.6,18.8
58,1,36.5,16.6
59,1,37.6,19.1
60,1,35.7,16.9
61,1,41.3,21.1
62,1,37.6,17.0
63,1,41.1,18.2
64,1,36.4,17.1
65,1,41.6,18.0
66,1,35.5,16.2
67,1,41.1,19.1
68,1,35.9,16.6
69,1,41.8,19.4
70,1,33.5,19.0
71,1,39.7,18.4
72,1,39.6,17.2
73,1,45.8,18.9
74,1,35.5,17.5
75,1,42.8,18.5
76,1,40.9,16.8
77,1,37.2,19.4
78,1,36.2,16.1
79,1,42.1,19.1
80,1,34.6,17.2
81,1,42.9,17.6
82,1,36.7,18.8
83,1,35.1,19.4
84,1,37.3,17.8
85,1,41.3,20.3
86,1,36.3,19.5
87,1,36.9,18.6
88,1,38.3,19.2
89,1,38.9,18.8
90,1,35.7,18.0
91,1,41.1,18.1
92,1,34.0,17.1
93,1,39.6,18.1
94,1,36.2,17.3
95,1,40.8,18.9
96,1,38.1,18.6
97,1,40.3,18.5
98,1,33.1,16.1
99,1,43.2,18.5
100,1,35.0,17.9
101,1,41.0,20.0
102,1,37.7,16.0
103,1,37.8,20.0
104,1,37.9,18.6
105,1,39.7,18.9
106,1,38.6,17.2
107,1,38.2,20.0
108,1,38.1,17.0
109,1,43.2,19.0
110,1,38.1,16.5
111,1,45.6,20.3
112,1,39.7,17.7
113,1,42.2,19.5
114,1,39.6,20.7
115,1,42.7,18.3
116,1,38.6,17.0
117,1,37.3,20.5
118,1,35.7,17.0
119,1,41.1,18.6
120,1,36.2,17.2
121,1,37.7,19.8
122,1,40.2,17.0
123,1,41.4,18.5
124,1,35.2,15.9
125,1,40.6,19.0
126,1,38.8,17.6
127,1,41.5,18.3
128,1,39.0,17.1
129,1,44.1,18.0
130,1,38.5,17.9
131,1,43.1,19.2
132,1,36.8,18.5
133,1,37.5,18.5
134,1,38.1,17.6
135,1,41.1,17.5
136,1,35.6,17.5
137,1,40.2,20.1
138,1,37.0,16.5
139,1,39.7,17.9
140,1,40.2,17.1
141,1,40.6,17.2
142,1,32.1,15.5
143,1,40.7,17.0
144,1,37.3,16.8
145,1,39.0,18.7
146,1,39.2,18.6
147,1,36.6,18.4
148,1,36.0,17.8
149,1,37.8,18.1
150,1,36.0,17.1
151,1,41.5,18.5
152,0,46.5,17.9
153,0,50.0,19.5
154,0,51.3,19.2
155,0,45.4,18.7
156,0,52.7,19.8
157,0,45.2,17.8
158,0,46.1,18.2
159,0,51.3,18.2
160,0,46.0,18.9
161,0,51.3,19.9
162,0,46.6,17.8
163,0,51.7,20.3
164,0,47.0,17.3
165,0,52.0,18.1
166,0,45.9,17.1
167,0,50.5,19.6
168,0,50.3,20.0
169,0,58.0,17.8
170,0,46.4,18.6
171,0,49.2,18.2
172,0,42.4,17.3
173,0,48.5,17.5
174,0,43.2,16.6
175,0,50.6,19.4
176,0,46.7,17.9
177,0,52.0,19.0
178,0,50.5,18.4
179,0,49.5,19.0
180,0,46.4,17.8
181,0,52.8,20.0
182,0,40.9,16.6
183,0,54.2,20.8
184,0,42.5,16.7
185,0,51.0,18.8
186,0,49.7,18.6
187,0,47.5,16.8
188,0,47.6,18.3
189,0,52.0,20.7
190,0,46.9,16.6
191,0,53.5,19.9
192,0,49.0,19.5
193,0,46.2,17.5
194,0,50.9,19.1
195,0,45.5,17.0
196,0,50.9,17.9
197,0,50.8,18.5
198,0,50.1,17.9
199,0,49.0,19.6
200,0,51.5,18.7
201,0,49.8,17.3
202,0,48.1,16.4
203,0,51.4,19.0
204,0,45.7,17.3
205,0,50.7,19.7
206,0,42.5,17.3
207,0,52.2,18.8
208,0,45.2,16.6
209,0,49.3,19.9
210,0,50.2,18.8
211,0,45.6,19.4
212,0,51.9,19.5
213,0,46.8,16.5
214,0,45.7,17.0
215,0,55.8,19.8
216,0,43.5,18.1
217,0,49.6,18.2
218,0,50.8,19.0
219,0,50.2,18.7
220,0,46.1,13.2
221,0,50.0,16.3
222,0,48.7,14.1
223,0,50.0,15.2
224,0,47.6,14.5
225,0,46.5,13.5
226,0,45.4,14.6
227,0,46.7,15.3
228,0,43.3,13.4
229,0,46.8,15.4
230,0,40.9,13.7
231,0,49.0,16.1
232,0,45.5,13.7
233,0,48.4,14.6
234,0,45.8,14.6
235,0,49.3,15.7
236,0,42.0,13.5
237,0,49.2,15.2
238,0,46.2,14.5
239,0,48.7,15.1
240,0,50.2,14.3
241,0,45.1,14.5
242,0,46.5,14.5
243,0,46.3,15.8
244,0,42.9,13.1
245,0,46.1,15.1
246,0,44.5,14.3
247,0,47.8,15.0
248,0,48.2,14.3
249,0,50.0,15.3
250,0,47.3,15.3
251,0,42.8,14.2
252,0,45.1,14.5
253,0,59.6,17.0
254,0,49.1,14.8
255,0,48.4,16.3
256,0,42.6,13.7
257,0,44.4,17.3
258,0,44.0,13.6
259,0,48.7,15.7
260,0,42.7,13.7
261,0,49.6,16.0
262,0,45.3,13.7
263,0,49.6,15.0
264,0,50.5,15.9
265,0,43.6,13.9
266,0,45.5,13.9
267,0,50.5,15.9
268,0,44.9,13.3
269,0,45.2,15.8
270,0,46.6,14.2
271,0,48.5,14.1
272,0,45.1,14.4
273,0,50.1,15.0
274,0,46.5,14.4
275,0,45.0,15.4
276,0,43.8,13.9
277,0,45.5,15.0
278,0,43.2,14.5
279,0,50.4,15.3
280,0,45.3,13.8
281,0,46.2,14.9
282,0,45.7,13.9
283,0,54.3,15.7
284,0,45.8,14.2
285,0,49.8,16.8
286,0,46.2,14.4
287,0,49.5,16.2
288,0,43.5,14.2
289,0,50.7,15.0
290,0,47.7,15.0
291,0,46.4,15.6
292,0,48.2,15.6
293,0,46.5,14.8
294,0,46.4,15.0
295,0,48.6,16.0
296,0,47.5,14.2
297,0,51.1,16.3
298,0,45.2,13.8
299,0,45.2,16.4
300,0,49.1,14.5
301,0,52.5,15.6
302,0,47.4,14.6
303,0,50.0,15.9
304,0,44.9,13.8
305,0,50.8,17.3
306,0,43.4,14.4
307,0,51.3,14.2
308,0,47.5,14.0
309,0,52.1,17.0
310,0,47.5,15.0
311,0,52.2,17.1
312,0,45.5,14.5
313,0,49.5,16.1
314,0,44.5,14.7
315,0,50.8,15.7
316,0,49.4,15.8
317,0,46.9,14.6
318,0,48.4,14.4
319,0,51.1,16.5
320,0,48.5,15.0
321,0,55.9,17.0
322,0,47.2,15.5
323,0,49.1,15.0
324,0,47.3,13.8
325,0,46.8,16.1
326,0,41.7,14.7
327,0,53.4,15.8
328,0,43.3,14.0
329,0,48.1,15.1
330,0,50.5,15.2
331,0,49.8,15.9
332,0,43.5,15.2
333,0,51.5,16.3
334,0,46.2,14.1
335,0,55.1,16.0
336,0,44.5,15.7
337,0,48.8,16.2
338,0,47.2,13.7
339,0,43.92192982456142,17.151169590643278
340,0,46.8,14.3
341,0,50.4,15.7
342,0,45.2,14.8
343,0,49.9,16.1
